File Name,Positive Score,Negative Score,Polarity Score,Subjectivity Score,Avg Sentence Length,Percentage of Complex Words,Fog Index,Avg Words Per Sentence,Complex Word Count,Word Count,Syllable Per Word,Personal Pronouns,Avg Word Length
blackassign0042,68,25,0.462365586,0.052750993,20.98809524,0.283040272,8.508454204,20.98809524,499,1763,1.77311401,11,6.073737947
blackassign0043,71,23,0.510638292,0.047643183,20.9893617,0.281804359,8.508466424,20.9893617,556,1973,1.697415104,0,5.878357831
blackassign0044,33,1,0.941176443,0.027709861,34.08333333,0.300733496,13.75362673,34.08333333,369,1227,1.740831296,0,6.077424613
blackassign0045,86,39,0.375999997,0.073659399,73.7826087,0.301708898,29.63372704,73.7826087,512,1697,1.835592222,0,6.255156158
blackassign0046,31,0,0.999999968,0.021145975,21.88059701,0.317189632,8.879114659,21.88059701,465,1466,1.747612551,0,6.04638472
blackassign0047,19,6,0.519999979,0.018422992,25.12962963,0.322770818,10.18096018,25.12962963,438,1357,1.762711864,0,6.173913043
blackassign0048,8,4,0.333333306,0.010899183,47.86956522,0.304268847,19.26953363,47.86956522,335,1101,1.758401453,0,6.136239782
blackassign0049,29,69,-0.408163261,0.055808656,25.82352941,0.284738041,10.44330698,25.82352941,500,1756,1.714692483,0,6.048974943
blackassign0050,22,16,0.157894733,0.028148148,32.14285714,0.294814815,12.97506878,32.14285714,398,1350,1.714074074,1,5.998518519
blackassign0051,62,39,0.22772277,0.050575864,16.23577236,0.286930396,6.609081101,16.23577236,573,1997,1.703555333,0,5.891337006
blackassign0052,46,3,0.877551002,0.036676647,22.6440678,0.290419162,9.173794783,22.6440678,388,1336,1.720808383,0,6.020209581
blackassign0053,8,1,0.777777691,0.007853403,36.96774194,0.265270506,14.89320498,36.96774194,304,1146,1.641361257,0,5.926701571
blackassign0054,27,9,0.499999986,0.02244389,26.29508197,0.256234414,10.62052655,26.29508197,411,1604,1.615336658,0,5.750623441
blackassign0055,27,9,0.499999986,0.027067669,39.11764706,0.309774436,15.7709686,39.11764706,412,1330,1.746616541,0,6.130827068
blackassign0056,20,10,0.333333322,0.027247956,26.85365854,0.302452316,10.86244434,26.85365854,333,1101,1.754768392,0,6.122615804
blackassign0057,10,2,0.666666611,0.012096774,36.74074074,0.307459677,14.81928017,36.74074074,305,992,1.76108871,0,6.200604839
blackassign0058,29,36,-0.107692306,0.04751462,19.82608696,0.263888889,8.035990338,19.82608696,361,1368,1.61622807,0,5.82748538
blackassign0059,16,4,0.59999997,0.020080321,45.27272727,0.296184739,18.2275648,45.27272727,295,996,1.708835341,0,6.196787149
blackassign0060,50,19,0.449275356,0.040540541,22.69333333,0.301410106,9.197897376,22.69333333,513,1702,1.746768508,0,6.233254994
blackassign0061,18,18,0,0.029484029,26.54347826,0.312858313,10.74253463,26.54347826,382,1221,1.735462735,0,6.025389025
blackassign0062,27,38,-0.169230767,0.044612217,22.07575758,0.299931366,8.950275577,22.07575758,437,1457,1.762525738,0,6.06108442
blackassign0063,33,48,-0.185185183,0.041158537,21.86666667,0.31351626,8.872073171,21.86666667,617,1968,1.739837398,0,6.140243902
